wiki_link,original_title,story
https://en.wikipedia.org/wiki/Uri:_The_Surgical_Strike,Uri: The Surgical Strike,Divided over five chapters  the film chronicles the events of the surgical strike conducted by the Indian military against suspected militants in Pakistan occupied Kashmir. It tells the story of the 11 tumultuous events over which the operation was carried out. Indian army special forces carry out a covert operation to avenge the killing of fellow army men at their base by a terrorist group.
https://en.wikipedia.org/wiki/Gully_Boy,Gully Boy,"Gully Boy is a film about a 22-year-old boy ""Murad"" from a ghetto in Mumbai  India. The son of a driver  his parents worked hard to get him educated so that he could have a white collar job. Meanwhile  Murad realizes his calling to be a rapper. Authentic Hip Hop in India is a recent phenomenon and like anywhere else in the world  is rising from the streets. Art is a distant dream for the colonized poor of India and this story is about Murad's journey from realizing his love for rap and chasing his dream to inadvertently transcending his class. The film showcases street rap from the crevices of Mumbai's by lanes. The poetry is conscious of the city's socio-economic fabric and highlights the challenges faced by the disenfranchised youth in the minority population."
https://en.wikipedia.org/wiki/Kabir_Singh,Kabir Singh,This Sandeep Vanga directorial is a remake of the 2017 Telugu movie Arjun Reddy. The plot revolves around an alcoholic surgeon battling temper issues. Things get worse as he watches the love of his life marry another man. High on emotions coupled with impressive action the film promises an intense watch.
https://en.wikipedia.org/wiki/Dil_Bechara,Dil Bechara,A love story about two cancer patients.
https://en.wikipedia.org/wiki/Padmaavat,Padmaavat,This fictional story is set in 13th century medieval India. a Princess of Sinhala(modern-day Sri Lanka) called Padmavati falls in love with already married Maharawal Ratan Singh  King of Chittor. Upon their marriage  Padmavati is crowned queen  taking the place of wife of Ratan Singh and they reside together in joy and splendor. Their perfect life takes an unfortunate turn when a banished royal priest Chetan convinces Sultan of Delhi Allauddin Khilji to attack Chittor and capture Padmavati for her beauty and luck she could bring him. Sultan Allaudin Khilji  convinced by the priest and driven by desire of ultimate power  prepares to attack Chittorgarh.
https://en.wikipedia.org/wiki/Raazi,Raazi,Hidayat Khan is the son of an Indian freedom fighter and agent posing as an informant for the Pakistani government. He wishes to make his 20-year-old daughter Sehmat an agent and continue the family tradition of being in service to the country. Sehmat leaves college. She is hastily trained by senior RAW officer Khalid Mir. Her father uses his friendship with Brigadier Syed of the Pakistan Army to get Sehmat married to his son  Iqbal Syed  a military officer. Sehmat quickly settles into her married life  she falls in love with Iqbal. But everything starts to complicated.
https://en.wikipedia.org/wiki/Race_3,Race 3,Text: 25 years ago arms dealer Shamsher Singh shifted to Al Shifa island with his family .When he was accused of doing illegal business of arms by government of India.He has a business rival Rana who has attacked him many a times.But his nephew Sikander always came to his rescue who is also closest person to him and further who can take over his business.Twins Sanjana and Suraj kids of Shamsher don't go well with Sikander.Shamesher has a dream to go back to India and Sikander is his only hope.Apart from twin cousin's Sikander will have to face betrayal from trusted aide Yash and Jessica his loves who is not who she claims to be.
https://en.wikipedia.org/wiki/Sanju,Sanju,"Few lives in our times are as dramatic and enigmatic as the saga of Sanjay Dutt. Coming from a family of cinema legends  he himself became a film star  and then saw dizzying heights and darkest depths: adulation of die-hard fans  unending battles with various addictions  brushes with the underworld  prison terms  loss of loved ones  and the haunting speculation that he might or might not be a terrorist. Sanju is in turns a hilarious and heartbreaking exploration of one man's battle against his own wild self and the formidable external forces trying to crush him. It depicts the journey of a man through everything that life can throw at him. Some true stories leave you thinking ""did this really happen?"" This is one such unbelievable story that happens to be true."
https://en.wikipedia.org/wiki/Stree_(2018_film),Stree,Chanderi village is haunted for years by a witch whose called as Stree. She abducts men in dark leaving their clothes behind during the four day annual festival. Vicky young and handsome village tailor disbelief's these stories. He meets an Unnamed women whose in the village every year during the festival. Vicky and the women start getting close to each other. But his friends Jaana and Bitu get suspicious that till date only Vicky has seen the women and believe that she could be Stree.
https://en.wikipedia.org/wiki/Andhadhun,Andhadhun,Akash a blind pianist is preparing for a London concert.Sophie's scooter bumps into Akash and upon finding he a pianist she takes him to her restaurant Franco's run by her father and offers him a job.Akash meets 70s actor Pramod Sinha at the restaurant who asks him to do a private concert of his songs at his residence to surprise his wife Simi. Next Day upon reaching his house a shocking surprise is waiting for Akash.
